,Unnamed: 0,Name,Self Introduction,Job Title,emb1,emb2,join_year,color_code
0,0,Sarah,Hi there Im Sarah My hobbies include playing the guitar and going hiking One fun thing about playing the guitar is that I can serenade my friends around a campfire during our hiking trips,Product Manager,5.0604405,6.251133,2015,#9a02b1
1,1,Mike,Hey Im Mike Im a sports enthusiast and youll often find me on the basketball court or playing soccer with friends The fun part about sports is that it keeps me active and helps me stay in shape,Data Scientist,6.1491084,7.0139666,2018,#780897
2,2,Emily,Hello Im Emily I love going on long walks in nature and birdwatching One fun thing about birdwatching is trying to identify different species and their unique calls,Software Engineer,7.680519,7.709658,2010,#c500cf
3,3,Alex,Hey Im Alex Im a music lover and my favorite instrument is the piano Its so rewarding to learn new songs and create my own melodies,Data Scientist,6.475959,5.7157636,2017,#9a02b1
4,4,Jake,Hi Im Jake I enjoy playing tennis and going for a swim in the lake The fun part about swimming is feeling weightless and free in the water,Product Manager,7.4584107,5.351672,2015,#9a02b1
5,5,Lily,Greetings Im Lily Im into hiking and camping One fun thing about camping is roasting marshmallows and making smores around the campfire,Software Engineer,5.1659946,6.4547915,2012,#c500cf
6,6,David,Hello there Im David Im a huge fan of football and love playing it with friends on weekends The fun part is the camaraderie and team spirit on the field,Data Scientist,7.3323393,6.262958,2010,#c500cf
7,7,Mia,Hey Im Mia I enjoy cycling and listening to music while riding Its so much fun to explore new places on my bike with some good tunes playing,Product Manager,7.555015,6.234696,2015,#9a02b1
8,8,Ryan,Hi Im Ryan Im passionate about rock climbing and playing the drums Climbing gives me an adrenaline rush and drumming lets me release my creative energy,Software Engineer,6.2949595,5.0643682,2019,#780897
9,9,Chloe,Whats up Im Chloe I love dancing to all kinds of music from hiphop to salsa The fun part about dancing is expressing myself through movement,Data Scientist,7.7443695,6.8808045,2016,#9a02b1
10,10,Ethan,Hey Im Ethan Im an avid runner and love participating in marathons The fun part is the sense of achievement and pushing my limits,Software Engineer,6.0802007,6.163094,2016,#9a02b1
11,11,Olivia,Hi there Im Olivia I enjoy kayaking and playing the ukulele The fun thing about kayaking is exploring hidden waterways and natures beauty,Data Scientist,7.517462,5.566468,2014,#9a02b1
12,12,Liam,Greetings Im Liam Im a soccer player and a guitar player Soccer helps me relieve stress and playing the guitar lets me unwind and relax,Product Manager,4.533865,5.934754,2011,#c500cf
13,13,Ava,Hello Im Ava I love going on nature hikes and listening to live music The fun part about live music is feeling the energy of the crowd and dancing along,Software Engineer,7.892828,6.3085103,2014,#9a02b1
14,14,Jackson,Hey Im Jackson Im into skateboarding and playing the drums Skateboarding gives me a sense of freedom and drumming allows me to release my emotions,Data Scientist,4.885453,4.7192774,2022,#780897
15,15,Isabella,Hi Im Isabella Im passionate about horseback riding and singing Riding horses gives me a unique connection with animals and singing brings me joy,Product Manager,4.454981,6.941014,2021,#780897
16,16,Noah,Hi there Im Noah I enjoy playing basketball and going on road trips One fun thing about road trips is discovering new places and trying local food,Data Scientist,7.6142254,8.818649,2017,#9a02b1
17,17,Sophia,Whats up Im Sophia Im a dancer and a music lover Dancing allows me to express myself and music is my constant companion,Software Engineer,5.6228595,5.4714317,2015,#9a02b1
18,18,Ethan,Hey Im Ethan Im into playing basketball and going on camping trips The fun part about camping is stargazing and sharing stories around the campfire,Product Manager,5.655251,6.4727554,2013,#c500cf
19,19,Mia,Hello Im Mia I enjoy rock climbing and playing the violin Rock climbing is a great way to challenge myself physically and playing the violin is a beautiful form of expression,Data Scientist,6.194356,4.7154202,2011,#c500cf
20,20,Liam,Hi Im Liam Im into playing basketball and going fishing Fishing allows me to relax and connect with nature while waiting for the perfect catch,Software Engineer,6.924617,4.643474,2013,#c500cf
21,21,Emma,Hi there Im Emma Im passionate about hiking and singing karaoke with friends Karaoke nights are always full of laughter and unforgettable moments,Product Manager,5.120489,7.4057703,2019,#780897
22,22,Jacob,Greetings Im Jacob Im a music producer and enjoy playing soccer in my free time Producing music gives me a creative outlet and soccer keeps me active,Data Scientist,5.7184114,5.7896585,2013,#c500cf
