,Name,Self Introduction,Job Title,Org,emb1,emb2,join_year,color_code
0,Sarah,Hi there Im Sarah My hobbies include playing the guitar and going hiking One fun thing about playing the guitar is that I can serenade my friends around a campfire during our hiking trips,Product Manager,Data,6.995722,6.718689,2011,#c500cf
1,Mike,Hey Im Mike Im a sports enthusiast and youll often find me on the basketball court or playing soccer with friends The fun part about sports is that it keeps me active and helps me stay in shape,Data Scientist,Monetization,5.009084,5.9127536,2013,#c500cf
2,Emily,Hello Im Emily I love going on long walks in nature and birdwatching One fun thing about birdwatching is trying to identify different species and their unique calls,Software Engineer,Core,8.242121,6.680359,2010,#c500cf
3,Alex,Hey Im Alex Im a music lover and my favorite instrument is the piano Its so rewarding to learn new songs and create my own melodies,Data Scientist,Data,6.102148,4.7507725,2022,#780897
4,Jake,Hi Im Jake I enjoy playing tennis and going for a swim in the lake The fun part about swimming is feeling weightless and free in the water,Product Manager,Monetization,6.7566547,5.7084374,2021,#780897
5,Lily,Greetings Im Lily Im into hiking and camping One fun thing about camping is roasting marshmallows and making smores around the campfire,Software Engineer,Core,8.004279,6.5902658,2012,#c500cf
6,David,Hello there Im David Im a huge fan of football and love playing it with friends on weekends The fun part is the camaraderie and team spirit on the field,Data Scientist,Data,7.7742147,4.4186645,2021,#780897
7,Mia,Hey Im Mia I enjoy cycling and listening to music while riding Its so much fun to explore new places on my bike with some good tunes playing,Product Manager,Monetization,6.384942,4.927701,2021,#780897
8,Ryan,Hi Im Ryan Im passionate about rock climbing and playing the drums Climbing gives me an adrenaline rush and drumming lets me release my creative energy,Software Engineer,Data,4.304194,3.7569659,2017,#9a02b1
9,Chloe,Whats up Im Chloe I love dancing to all kinds of music from hiphop to salsa The fun part about dancing is expressing myself through movement,Data Scientist,Data,7.0177174,4.4304338,2014,#9a02b1
10,Ethan,Hey Im Ethan Im an avid runner and love participating in marathons The fun part is the sense of achievement and pushing my limits,Software Engineer,Core,7.615145,5.5407,2019,#780897
